2025-09-03 08:19:15.257	    7f9ebe6af7c0	INFO	logging	contrib/epee/src/mlog.cpp:274	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.ssl:FATAL,net.p2p:FATAL,net.cn:FATAL,daemon.rpc:FATAL,global:INFO,verify:FATAL,serialization:FATAL,daemon.rpc.payment:ERROR,stacktrace:INFO,logging:INFO,msgwriter:INFO
2025-09-04 01:08:33.694	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:08:33.694	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4241	pull_blocks failed, try_count=3
2025-09-04 01:08:33.694	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:211	Exception at while refreshing, what=no connection to daemon
2025-09-04 01:08:54.441	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:08:54.479	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:08:54.516	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:08:54.552	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:08:54.552	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4241	pull_blocks failed, try_count=3
2025-09-04 01:08:54.553	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:211	Exception at while refreshing, what=no connection to daemon
2025-09-04 01:09:16.423	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:16.458	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:16.495	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:16.536	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:16.536	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4241	pull_blocks failed, try_count=3
2025-09-04 01:09:16.536	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:211	Exception at while refreshing, what=no connection to daemon
2025-09-04 01:09:37.520	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:37.562	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:37.597	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:37.629	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:37.629	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4241	pull_blocks failed, try_count=3
2025-09-04 01:09:37.629	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:211	Exception at while refreshing, what=no connection to daemon
2025-09-04 01:09:58.153	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:58.195	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:58.230	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:58.269	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:09:58.269	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4241	pull_blocks failed, try_count=3
2025-09-04 01:09:58.269	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:211	Exception at while refreshing, what=no connection to daemon
2025-09-04 01:10:19.786	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:10:19.828	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:10:19.859	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:10:19.904	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2025-09-04 01:10:19.904	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4241	pull_blocks failed, try_count=3
2025-09-04 01:10:19.904	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:211	Exception at while refreshing, what=no connection to daemon
2025-09-04 01:10:40.322	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:16011	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
